<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDJPY;D;20021118;000000;121.03000
USDJPY;D;20021119;000000;122.34000
USDJPY;D;20021120;000000;122.66000
USDJPY;D;20021121;000000;122.90000
USDJPY;D;20021122;000000;122.79000
USDJPY;D;20021123;000000;122.95000
USDJPY;D;20021125;000000;122.08000
USDJPY;D;20021126;000000;121.61000
USDJPY;D;20021127;000000;122.40000
USDJPY;D;20021128;000000;122.19000
USDJPY;D;20021129;000000;122.59000
USDJPY;D;20021202;000000;124.57000
USDJPY;D;20021203;000000;124.57000
USDJPY;D;20021204;000000;124.58000
USDJPY;D;20021205;000000;124.87000
USDJPY;D;20021206;000000;123.78000
USDJPY;D;20021209;000000;123.32000
USDJPY;D;20021210;000000;123.60000
USDJPY;D;20021211;000000;123.44000
USDJPY;D;20021215;000000;120.55000
USDJPY;D;20021216;000000;121.24000
USDJPY;D;20021217;000000;120.62000
USDJPY;D;20021218;000000;121.12000
USDJPY;D;20021219;000000;120.50000
USDJPY;D;20021220;000000;120.50000
USDJPY;D;20021221;000000;120.39000
USDJPY;D;20021223;000000;120.45000
USDJPY;D;20021224;000000;120.32000
USDJPY;D;20021225;000000;120.47000
USDJPY;D;20021226;000000;119.96000
USDJPY;D;20021227;000000;119.93000
USDJPY;D;20021228;000000;119.89000
USDJPY;D;20021229;000000;119.89000
USDJPY;D;20021230;000000;118.51000
USDJPY;D;20021231;000000;118.75000
USDJPY;D;20030101;000000;118.75000
USDJPY;D;20030102;000000;118.80000
